t,primary_x,primary_y,primary_z,tracking_error,solve_time_ms,iterations,converged,tool_frame_x,tool_frame_y,tool_frame_z
10.7360481,0.10313716520875575,0.2784805646070785,2.3813771752104516,0.160956691,4.076225,11.0,1.0,0.10313716520875575,0.2784805646070785,2.3813771752104516
10.744048621,0.10218759695600665,0.278364256459723,2.3814890653644265,0.160872596,4.023889,11.0,1.0,0.10218759695600665,0.278364256459723,2.3814890653644265
10.752052235,0.10073162859630691,0.27818795624055725,2.3816559815617713,0.160040145,4.027342,11.0,1.0,0.10073162859630691,0.27818795624055725,2.3816559815617713
10.760065476,0.09904461954629618,0.27798578452816586,2.3818438590564233,0.159046408,4.060647,11.0,1.0,0.09904461954629618,0.27798578452816586,2.3818438590564233
10.768048192,0.09711989764295624,0.27775704436890775,2.382052158721408,0.157884446,4.009758,11.0,1.0,0.09711989764295624,0.27775704436890775,2.382052158721408
10.776048572,0.09547907450387032,0.2775746277065255,2.382211538163459,0.159036283,4.028843,11.0,1.0,0.09547907450387032,0.2775746277065255,2.382211538163459
10.784052144,0.09420012137904038,0.27743949729048406,2.382334890151601,0.160093549,4.027466,11.0,1.0,0.09420012137904038,0.27743949729048406,2.382334890151601
10.792049688,0.09317460260529549,0.2773263551146711,2.3824364513675986,0.160849309,4.017843,11.0,1.0,0.09317460260529549,0.2773263551146711,2.3824364513675986
10.800052419,0.0923272008643399,0.2772264743991946,2.3825229260959677,0.161419894,4.037613,11.0,1.0,0.0923272008643399,0.2772264743991946,2.3825229260959677
10.807997493,0.0917066473043995,0.27714791551532675,2.3825903153479993,0.16174815,4.04939,11.0,1.0,0.0917066473043995,0.27714791551532675,2.3825903153479993
10.816069683,0.09101646547995662,0.2770565470091231,2.3826631432777194,0.162214142,4.032393,11.0,1.0,0.09101646547995662,0.2770565470091231,2.3826631432777194
10.824049847,0.09034095522374293,0.2769629033858953,2.382734546133971,0.162662074,4.035367,11.0,1.0,0.09034095522374293,0.2769629033858953,2.382734546133971
10.832053568,0.08963412462882345,0.27686260148898284,2.3828083561832165,0.163148817,4.107381,11.0,1.0,0.08963412462882345,0.27686260148898284,2.3828083561832165
10.84004916,0.08885637945815204,0.2767518713184722,2.3828878151375554,0.163686075,4.051522,11.0,1.0,0.08885637945815204,0.2767518713184722,2.3828878151375554
10.848066927,0.08797403776629628,0.2766275184069483,2.382975574362141,0.164291219,4.025302,11.0,1.0,0.08797403776629628,0.2766275184069483,2.382975574362141
10.856049434,0.08694258579921771,0.27648396415275467,2.3830753177025814,0.164945316,4.04819,11.0,1.0,0.08694258579921771,0.27648396415275467,2.3830753177025814
10.864049549,0.08563666384888124,0.2763082491976133,2.3832010407316817,0.16496614,4.067524,11.0,1.0,0.08563666384888124,0.2763082491976133,2.3832010407316817
10.872048919,0.0839968120523122,0.2760938781472071,2.3833573063576234,0.164168226,4.1093,11.0,1.0,0.0839968120523122,0.2760938781472071,2.3833573063576234
10.880049669,0.08259750560795291,0.2759137322811248,2.383487124241567,0.163882085,4.042478,11.0,1.0,0.08259750560795291,0.2759137322811248,2.383487124241567
10.888049374,0.08050887793220873,0.2756491006902044,2.3836753013202143,0.162777783,4.040875,11.0,1.0,0.08050887793220873,0.2756491006902044,2.3836753013202143
10.896066793,0.07869817232371705,0.27544161222109736,2.3838240416878826,0.163807601,4.060652,11.0,1.0,0.07869817232371705,0.27544161222109736,2.3838240416878826
10.904049446,0.07727475645980929,0.2752898022570149,2.3839394041710986,0.164713719,4.254229,9.0,1.0,0.07727475645980929,0.2752898022570149,2.3839394041710986
10.912049954,0.07612758218080933,0.2751617680329102,2.3840335408010307,0.16533215,4.036537,11.0,1.0,0.07612758218080933,0.2751617680329102,2.3840335408010307
10.92009769,0.07517528593148551,0.2750474817921988,2.3841129452166463,0.165776446,4.041695,11.0,1.0,0.07517528593148551,0.2750474817921988,2.3841129452166463
10.928050966,0.07433417036486781,0.2749373067169312,2.384184044573751,0.166091601,4.030034,11.0,1.0,0.07433417036486781,0.2749373067169312,2.384184044573751
10.936050723,0.07354380460675274,0.2748273093482659,2.384250978437267,0.16639321,4.048783,11.0,1.0,0.07354380460675274,0.2748273093482659,2.384250978437267
10.944031699,0.07288929641310958,0.2747334245351649,2.384307364985518,0.166631398,4.037879,11.0,1.0,0.07288929641310958,0.2747334245351649,2.384307364985518
10.952067939,0.07206253592631301,0.2746121814196135,2.384375893059855,0.166985815,4.00487,11.0,1.0,0.07206253592631301,0.2746121814196135,2.384375893059855
10.960053798,0.07115546508034876,0.2744789903758314,2.384449614064904,0.16737437,4.010625,11.0,1.0,0.07115546508034876,0.2744789903758314,2.384449614064904
